4,5,4,5,12,13,14,15,0,1,2,3,4,5,6,7,4,5,4,5
28,29,28,29,36,37,38,39,24,25,26,27,28,29,30,31,28,29,28,29
4,5,4,5,4,5,4,5,4,5,4,5,6,7,12,13,14,15,4,5
28,29,28,29,28,29,28,29,28,29,28,29,30,31,36,37,38,39,28,29
12,13,14,15,4,5,6,7,4,5,4,5,4,5,6,7,4,5,6,7
36,37,38,39,28,29,30,31,28,29,28,29,28,29,30,31,28,29,30,31
4,5,4,5,6,7,12,13,14,15,4,5,6,7,4,5,4,5,4,5
28,29,28,29,30,31,36,37,38,39,28,29,30,31,28,29,28,29,28,29
4,5,6,7,4,5,8,9,10,11,4,5,4,5,6,7,4,5,4,5
28,29,30,31,28,29,32,33,34,35,28,29,28,29,30,31,28,29,28,29
4,5,4,5,6,7,4,5,4,5,4,5,6,7,4,5,4,5,4,5
28,29,28,29,30,31,28,29,28,29,28,29,30,31,28,29,28,29,28,29
4,5,4,5,4,5,4,5,6,7,8,9,10,11,4,5,6,7,4,5
28,29,28,29,28,29,28,29,30,31,32,33,34,35,28,29,30,31,28,29
4,5,6,7,12,13,14,15,20,21,22,23,4,5,6,7,12,13,14,15
28,29,30,31,36,37,38,39,44,45,46,47,28,29,30,31,36,37,38,39
